Alpha,10,,,,,,,,,,
Beta,14,,,,,,,,,,
Stable,1,,,,,,,,,,
TOTAL,25,,,,,,,,,,
Themes for release:,,,,,,,,,,,
,,,,,,,,,,,
Maintainer:,idvoretskyi (Ihor Dvoretskyi),,,,,,,,,,
,,,,,,,,,,,
Feature Name,Stage,SIG,Assignee,Needs Docs?,k8s.io Docs PR,additional PR,One Line Release Note Description,Needs Doc Review,Needs Tech Review,Merged,Notes
API Aggregation,Stable,SIG-API-machinery,lavalamp,no,,,,,,,
CronJobs (previously ScheduledJobs),Beta,SIG-Apps,soltysh ,no,,,,,,,
Limit node access to API,Beta,SIG-Auth,liggitt,no,,,,,,,
Pod Security Policy ,Beta,SIG-Auth,php-coder,yes,https://github.com/kubernetes/website/pull/7562,,,,,,
Switch default DNS plugin to CoreDNS,Beta,SIG-Network,johnbelamaric ,yes,https://github.com/kubernetes/website/pull/7638,,,,,,
Support configurable pod resolv.conf,Beta,SIG-Network,mrhohn,yes,https://github.com/kubernetes/website/pull/7611,,,,,,
CRI validation test suite,Beta,SIG-Node,feiskyer,no,,,,,,,
Kubelet's ComponentConfig API,Beta,SIG-Node,mtaufen,yes,https://github.com/kubernetes/website/pull/7561,,,,,,
Prevent deletion of Persistent Volume that is bound to a Persistent Volume Claim ,Beta,SIG-Storage,pospispa,yes,https://github.com/kubernetes/website/pull/7620,,,,,,
Prevent deletion of Persistent Volume Claims that are used by a pod ,Beta,SIG-Storage,pospispa,yes,https://github.com/kubernetes/website/pull/7164,,,,,,
Mount namespace propagation,Beta,SIG-Storage,jsafrane,yes,https://github.com/kubernetes/website/pull/7655,,,,,,
Topology Aware Volume Scheduling,Beta,SIG-Storage,msau,yes,https://github.com/kubernetes/website/pull/7473,,,,,,
Local Ephemeral Storage Capacity Isolation,Beta,SIG-Storage,jingxu97 ,yes,https://github.com/kubernetes/website/pull/7614,,,,,,
Durable (non-shared) local storage management ,Beta,SIG-Storage,@msau42 @vishh,yes,https://github.com/kubernetes/website/pull/7473,,,,,,
Container Storage Interface,Beta,SIG-Storage,@saad-ali,yes,https://github.com/kubernetes/website/pull/7698,,,,,,
CRD subresources and categories,Alpha,SIG-API-machinery,sttts,yes,https://github.com/kubernetes/website/pull/7439,,CustomResources support /scale and /status,,,,
TokenRequest API,Alpha,SIG-Auth,mikedanese,no,,,,,,,
External client-go credential providers,Alpha,SIG-Auth,ericchiang ,yes,https://github.com/kubernetes/website/pull/7648,,,,,,
Add Azure support to cluster-autoscaler,Alpha,SIG-Azure,feiskyer,no,,,,,,,
Add support for Azure Virtual Machine Scale Sets,Alpha,SIG-Azure,feiskyer,no,,,,,,,
Make NodePort IP address configurable,Alpha,SIG-Network,m1093782566 ,yes,https://github.com/kubernetes/website/pull/7631,,,,,,
Configurable Pod Process Namespace Sharing,Alpha,SIG-Node,verb,yes,https://github.com/kubernetes/website/pull/7489,,,,,,
Dynamic Kubelet Configuration,Alpha,SIG-Node,mtaufen,no,,,,,,,
kubectl get and describe should work well with extensions,Alpha,SIG-CLI,smarterclayton ,yes,https://github.com/kubernetes/website/pull/7671,,,,,,
Add support for Windows Container Configuration in CRI,Alpha,SIG-Node,feiskyer&JiangtianLi,yes,https://github.com/kubernetes/website/pull/7653,,,,,,
