Features,,SIG,Assignee,One Line Release Note Description,Needs Docs?,Docs PR,Needs Doc Review,Needs Tech Review,Merged,Notes
Alpha,8,,,,,,,,,
Beta,12,,,,,,,,,
Stable,9,,,,,,,,,
TOTAL,29,,,,,,,,,
Monitoring Pipeline Metrics HPA API ,Alpha,SIG-Autoscaling,DirectXMan12,The Horizontal Pod Autoscaler now supports drawing metrics throug the API server aggregator.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2720,Complete,Complete,yes,
Arbitrary/Custom Metrics in the Horizontal Pod Autoscaler,Alpha,SIG-Autoscaling,DirectXMan12,"The Horizontal Pod Autoscaler now supports scaling on multiple, custom metrics.",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2720,Complete,Complete,yes,
Integrate Cluster Bootstrap/Discovery with Kubenetes Core,Alpha,SIG-ClusterLifecycle,jbeda,New Bootstrap Token authentication and management method. Works well with kubeadm.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2779,Complete,Complete,yes,@lukemarsden pulling together release notes
Support out-of-process and out-of-tree cloud providers,Alpha,SIG-ClusterLifecycle,wlan0,Adds a new cloud-controller-manager binary that may be used for testing the new out-of-core cloudprovider flow,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2900,Complete,Complete,yes,
"Represent node problems using NoExecute taint, and allow user-defined eviction time threshold using tolerationSeconds",Alpha,SIG-Scheduling,gmarek,"Per-pod configurable duration to stay bound to a node that becomes unreachable, not ready, or has other problems",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2774/files,Complete,Complete,yes,
Pod Injection Policy,Alpha,SIG-Service-Catalog,jessfraz,Adds a new API resource `PodPreset` and admission controller to enable defining cross-cutting injection of Volumes and Environment into Pods.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2807,Complete,Complete,yes,
All in one volume proposal ,Alpha,SIG-Storage,jpeeler,"A new volume driver capable of projecting secrets, configmaps, and downward API items into the same directory.",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2601,Complete,Complete,yes,
Flex volume API and Improved lifecycle (flexvolume) ,Alpha,SIG-Storage,chakri-nelluri,Flex volume plugin is updated to support attach/detach interfaces. It broke backward compatibility. Please update your drivers and implement the new callouts.,no,No docs required,n/a,n/a,n/a,
