,Key Dates:,,,,,,,,,,,,,,,
Lead - Stephen Augustus (justaugustus),Features Collection Begins: 7/9,,,,,,,,,,,,,,,
Kendrick Coleman (kacole2),Features Freeze: 7/31,,,,,,,,,,,,,,,
Michael Singh (wadadli),Code Slush: 8/28,, ,,,,,,,,,,,,,
SIG PM,Code & Test Freeze: 9/4,,,,,,,,,,,,,,,
,Docs deadline: 9/7,,,,,,,,,,,,,,,
,Docs ready: 9/18,,,,,,,,,,,,,,,
,v1.12 Release: 9/27,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Feature Name,Feature Status,Stage Status,Stage,SIG,Assignee,Proposal,k/k PR(s),Associated PR(s),Needs Docs?,Docs Status,k8s.io Docs PR,Test Status,Needs to be in Conformance Suite?,Failing Tests,One Line Release Note Description,Notes
115: Easier installation through componentconfig,Tracked,Net New,Alpha,cluster-lifecycle,"jbeda, sttts, luxas, thockin ",,,,None Required,N/A,,,,,"As part of the work to make installation/operation easier being done by sig-cluster-lifecycle, we are going to continue to make configuration more dynamic, through ongoing work on componentconfig.",
117: Arbitrary / Custom Metrics in the Horizontal Pod Autoscaler,Tracked,Graduating,Beta,autoscaling,directxman12,,,,Yes,Complete,https://github.com/kubernetes/website/pull/8757,,,,"Revised Horizontal Pod Autoscaler v2, including support for specifying label selectors to select more specific metrics.",
177: Snapshot / Restore Volume Support for Kubernetes (CRD + External Controller),Tracked,Net New,Alpha,storage,"jingxu97, xing-yang",community#2335,,,Yes,Complete,https://github.com/kubernetes/website/pull/9948,,,,Snapshot / restore functionality for Kubernetes and CSI. This provides standardized APIs design (CRDs) and adds PV snapshot / restore support for CSI volume drivers.,
21: Vertical Scaling of Pods,Tracked,Graduating,Beta,autoscaling,"mwielgus, kgrygiel",community#338,,,None Required,N/A,,,,,Vertical Scaling of Pods,
267: Kubelet Server TLS Certificate Rotation,Tracked,Graduating,Beta,auth,"liggitt, jcbsmpsn",community#602,,,Yes,Draft,https://github.com/kubernetes/website/pull/10232,,,,Rotation of the server TLS certificate on the kubelet,
288: Improve the multi-platform compatibility,Tracked,Graduating,Beta,release,luxas,multi-platform.md,,,None Required,N/A,,,,,Kubernetes should work on the platforms the community expects it to work on. Automated CI e2e tests should be run for all supported architectures. It should be possible to run clusters with nodes of mixed architectures.,
366: Egress support for Network Policy,Tracked,Graduating,Stable,network,cmluciano,,,,Yes,Complete,https://github.com/kubernetes/website/pull/10151,,,,Enable Egress network policy filtering,
367: ipBlock for Network Policies ,Tracked,Graduating,Stable,network,danwinship,kubernetes/kubernetes#49978,,,Has Docs,Complete,https://github.com/kubernetes/website/pull/10151,,,,CIDR selector support for egress/ingress network policies,
382: Taint node by Condition,Tracked,Graduating,Beta,scheduling,"k82cn, Huang-Wei",community#819,kubernetes#62109,,Yes,Complete,website#9626,,,,Represent node conditions that block scheduling using taints,
43: Kubelet TLS Bootstrap,Tracked,Graduating,Stable,auth,mikedanese,kubelet-tls-bootstrap.md,,,Yes,Draft,https://github.com/kubernetes/website/pull/10232,,,,kubelet generates a private key and a CSR for submission to a cluster-level certificate signing process,
432: Mount namespace propagation,Tracked,Graduating,Stable,storage,jsafrane,community#659,,,Yes,Complete,https://github.com/kubernetes/website/pull/10090,,,,"Enable a container to mount a volume rshared so that any mounts from inside the container are reflected in the host's mount namespace (this will enable, for example, containerization of volume plugins)",
460: Encryption at rest KMS integration,Tracked,Graduating,Beta,auth,mikedanese,community#1134,,,Yes,Complete,https://github.com/kubernetes/website/pull/10230,,,,Data encryption at rest using Google KMS as an encryption provider.,
495: Configurable Pod Process Namespace Sharing,Tracked,Graduating,Beta,node,verb,pod-pid-namespace.md,,,Needs Update,Complete,https://github.com/kubernetes/website/pull/9996,,,,Users can configure containers within a pod to share a common PID namespace by setting an option in the PodSpec,
513: Azure Virtual Machine Scale Sets,Tracked,Graduating,Stable,azure,feiskyer,kubernetes#43287,,,None Required,N/A,,,,,Add support for Azure Virtual Machine Scale Sets (VMSS),
514: Add Azure support to cluster-autoscaler,Tracked,Graduating,Stable,azure,feiskyer,autoscaler#449,,,None Required,N/A,in k/autoscaler,,,,Add Azure support to cluster-autoscaler,
548: Schedule DaemonSet Pods by kube-scheduler,Tracked,Graduating,Beta,scheduling,Huang-Wei,Schedule DaemonSet Pods by default scheduler,kubernetes#66526,,Yes,Complete,https://github.com/kubernetes/website/pull/9923,,,,Schedule DaemonSet Pods by kube-scheduler,
554: Dynamic Maximum volume count,Tracked,Graduating,Beta,storage,gnufied,community#2051,,,Yes,Complete,https://github.com/kubernetes/website/pull/10211,,,,Add support for dynamic and generic mechanism of maximum volume per node,
557: Kubernetes CSI topology support,Tracked,Graduating,Beta,storage,"verult, vladimirvivien",community#2034,,,Yes,Complete,https://github.com/kubernetes/website/pull/9939,,,,Kubernetes CSI topology support,
558: GCE PD topology support,Tracked,Graduating,Beta,storage,"msau42, verult",,,,Yes,Complete,https://github.com/kubernetes/website/pull/9939,,,,GCE PD topology support,
561: Topology aware dynamic provisioning,Tracked,Graduating,Beta,storage,"msau42, lichuqiang",,,,Needs Update,Complete,https://github.com/kubernetes/website/pull/9939,,,,Topology aware dynamic provisioning,
567: AWS EBS topology support,Tracked,Graduating,Beta,storage,"ddebroy, jsafrane",,,,Needs Update,Complete,https://github.com/kubernetes/website/pull/9939,,,,AWS EBS topology support,
575: Defaulting and Pruning for Custom Resources,Tracked,Net New,Alpha,api-machinery,sttts,Google Doc,,,None Required,N/A,,,,,Support for defaulting and pruning for Custom Resources,Looks like this is now in the 1.13 milestone
576: APIServer DryRun,Tracked,Net New,Alpha,api-machinery,apelisse,0015-dry-run.md,,,Yes,Complete,https://github.com/kubernetes/website/pull/10033,,,,"Add apiserver ""dry-run"" query-parameter so that requests can be validated and ""processed"" without actually being persisted.",
578: Server-side printing in kubectl,Tracked,Graduating,Stable,cli,juanvallejo,server-get.md,,,None Required,N/A,,,,,"kubectl get should get columns back from the server, not the client, and be able to handle this type of server response under all use-cases",
579: Updated plugin mechanism for kubectl,Tracked,Graduating,Beta,cli,"juanvallejo, soltysh",kubectl-extension.md,,,Yes,Complete,https://github.com/kubernetes/website/pull/10053,,,,kubectl should support extensions adding new commands as well as overriding specific subcommands (at any depth),
581: Separate repo for generic cli utils,Tracked,Graduating,Beta,cli,"juanvallejo, soltysh",,,,None Required,N/A,,,,,The package pkg/kubectl/genericclioptions should be split out from kubectl into a separate repo in order to allow use of it by plugin authors and third-party clients,
585: RuntimeClass,Tracked,Net New,Alpha,node,tallclair,community#2290,,,Yes,Complete,https://github.com/kubernetes/website/pull/10102,,,,RuntimeClass is a new cluster-scoped resource that surfaces container runtime properties to the control plane,
